Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP▼
1,LeBron James\jamesle01,SF,25,CLE,76,2966,31.1,.604,.253,.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,.299,,9.7,2.8,12.5,10.9
2,Dwyane Wade\wadedw01,SG,28,MIA,77,2792,28.0,.562,.161,.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,,8.5,4.6,13.0,.224,,7.4,2.0,9.4,8.0
3,Kevin Durant\duranke01,SF,21,OKC,82,3239,26.2,.607,.210,.504,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,,11.1,5.0,16.1,.238,,4.9,0.2,5.1,5.8
4,Dwight Howard\howardw01,C,24,ORL,82,2843,24.0,.630,.008,.978,12.0,31.3,22.0,8.7,1.4,6.0,18.7,23.9,,6.1,7.1,13.2,.223,,0.4,5.0,5.5,5.4
5,Josh Smith\smithjo03,PF,24,ATL,81,2871,21.0,.536,.007,.422,9.0,19.8,14.3,19.0,2.4,4.5,14.3,22.2,,4.2,5.1,9.3,.155,,1.2,4.3,5.5,5.4
6,Tim Duncan\duncati01,C,33,SAS,78,2438,24.7,.560,.010,.346,10.8,26.8,18.9,17.8,1.0,3.5,10.1,26.0,,6.4,4.5,10.9,.215,,2.4,3.2,5.6,4.7
7,Nene Hilario\hilarne01,C,27,DEN,82,2755,18.9,.631,.003,.580,7.0,19.1,13.1,11.6,2.1,2.2,12.2,16.5,,7.1,3.7,10.8,.188,,2.1,2.5,4.7,4.6
8,Jason Kidd\kiddja01,PG,36,DAL,80,2881,17.2,.577,.617,.148,1.9,15.6,8.9,36.4,2.6,0.9,21.4,14.5,,4.8,4.0,8.9,.148,,2.7,1.6,4.3,4.6
9,Pau Gasol\gasolpa01,C,29,LAL,65,2403,22.9,.593,.006,.429,11.4,22.7,17.1,15.0,0.8,3.5,12.5,21.4,,6.8,4.2,11.0,.220,,2.4,3.0,5.4,4.5
10,Manu Ginobili\ginobma01,SG,32,SAS,75,2150,22.5,.584,.388,.393,3.8,11.6,7.7,28.2,2.5,0.8,12.7,25.8,,6.5,3.2,9.7,.216,,5.6,0.7,6.3,4.5
11,Gerald Wallace\wallage01,SF,27,CHA,76,3119,18.3,.586,.148,.577,5.9,23.2,14.7,9.0,2.0,2.2,13.1,20.3,,5.3,6.2,11.5,.177,,0.6,2.9,3.5,4.3
12,Rajon Rondo\rondora01,PG,23,BOS,81,2963,19.1,.540,.088,.312,4.3,10.5,7.5,43.7,3.3,0.3,19.3,20.2,,4.9,4.7,9.6,.156,,2.2,1.3,3.5,4.1
13,Kobe Bryant\bryanko01,SG,31,LAL,73,2835,21.9,.545,.192,.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,,5.4,4.0,9.4,.160,,3.6,-0.1,3.6,4.0
14,Marc Gasol\gasolma01,C,25,MEM,69,2469,19.3,.617,.002,.578,9.8,20.5,15.1,10.2,1.4,3.4,14.2,16.9,,5.9,2.5,8.4,.164,,2.1,2.3,4.3,3.9
15,Marcus Camby\cambyma01,PF-C,35,TOT,74,2314,17.9,.501,.014,.244,12.7,31.9,22.2,12.3,2.2,4.8,14.1,12.8,,2.5,4.3,6.8,.142,,-1.0,5.5,4.5,3.8
16,Al Horford\horfoal01,C,23,ATL,81,2845,19.4,.594,.001,.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,,6.9,3.9,10.9,.183,,1.5,1.9,3.3,3.8
17,Andre Iguodala\iguodan01,SF,26,PHI,82,3193,17.8,.535,.271,.384,3.0,16.8,9.8,23.7,2.3,1.4,14.3,21.8,,4.0,2.8,6.7,.101,,1.9,0.8,2.7,3.8
18,Carlos Boozer\boozeca01,PF,28,UTA,78,2673,21.3,.599,.000,.350,8.2,29.9,19.4,15.8,1.6,1.1,14.3,24.8,,5.3,4.6,9.9,.178,,1.5,2.0,3.5,3.7
19,David Lee\leeda02,C,26,NYK,81,3019,22.2,.584,.006,.262,8.4,27.6,17.9,17.5,1.4,1.0,11.9,23.8,,7.4,2.9,10.3,.163,,1.9,1.0,2.9,3.7
20,Brandon Roy\roybr01,SG,25,POR,65,2419,21.3,.568,.213,.424,3.7,10.9,7.3,23.1,1.4,0.5,9.5,26.7,,7.0,2.1,9.1,.180,,4.8,-0.7,4.1,3.7
21,Deron Williams\willide01,PG,25,UTA,76,2802,20.6,.574,.246,.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,,7.4,3.0,10.3,.177,,4.3,-1.0,3.3,3.7
22,Dirk Nowitzki\nowitdi01,PF,31,DAL,81,3039,22.9,.578,.081,.392,3.1,20.1,11.7,13.0,1.2,2.0,7.8,28.8,,8.4,3.9,12.3,.194,,2.3,0.3,2.6,3.5
23,Lamar Odom\odomla01,PF,30,LAL,82,2585,15.9,.533,.246,.273,8.0,26.5,17.3,15.6,1.5,1.7,15.3,17.0,,2.8,4.9,7.7,.143,,0.0,3.1,3.1,3.3
24,Chauncey Billups\billuch01,PG,33,DEN,73,2490,20.2,.601,.423,.532,1.2,9.3,5.3,26.1,1.7,0.3,13.0,24.3,,7.7,1.7,9.5,.182,,5.0,-1.9,3.1,3.2
25,Channing Frye\fryech01,C,26,PHO,81,2190,15.0,.598,.558,.172,3.6,17.6,11.0,7.4,1.5,2.4,8.8,16.7,,4.3,2.2,6.4,.141,,2.8,0.9,3.7,3.2
26,Andrew Bogut\bogutan01,C,25,MIL,69,2229,20.7,.540,.002,.260,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,,2.6,4.8,7.5,.161,,-0.9,4.3,3.4,3.0
27,Joe Johnson\johnsjo02,SG,28,ATL,76,2886,19.3,.538,.253,.194,3.0,11.4,7.1,22.0,1.5,0.1,8.8,26.3,,6.0,2.4,8.4,.140,,3.5,-1.3,2.2,3.0
28,Brook Lopez\lopezbr01,C,21,NJN,82,3027,20.1,.570,.002,.451,9.9,17.5,13.5,11.8,1.0,3.4,13.1,23.6,,5.5,2.4,7.9,.125,,1.1,0.8,1.9,3.0
29,Chris Paul\paulch01,PG,24,NOH,45,1712,23.7,.584,.199,.298,1.3,11.9,6.5,45.4,2.9,0.4,13.5,22.2,,5.7,1.5,7.3,.204,,5.2,-0.4,4.9,3.0
30,Boris Diaw\diawbo01,PF,27,CHA,82,2906,12.8,.552,.266,.190,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,,2.4,3.8,6.2,.103,,0.3,1.6,1.9,2.9
31,Jared Dudley\dudleja01,SF,24,PHO,82,1991,13.6,.612,.535,.282,5.9,9.8,8.0,7.9,2.0,0.6,11.0,13.7,,4.0,1.3,5.3,.129,,3.3,0.4,3.7,2.9
32,Paul Pierce\piercpa01,SF,32,BOS,71,2411,18.2,.613,.303,.499,2.0,13.4,7.9,15.1,1.8,1.0,13.6,23.8,,5.0,3.3,8.3,.165,,2.3,0.3,2.7,2.9
33,Ben Wallace\wallabe01,C,35,DET,69,1975,15.8,.526,.007,.548,14.1,23.1,18.3,8.0,2.4,3.6,15.0,10.0,,2.4,2.3,4.7,.115,,-0.1,3.9,3.9,2.9
34,Russell Westbrook\westbru01,PG,21,OKC,82,2813,17.8,.491,.090,.364,6.0,10.3,8.2,38.6,2.0,0.9,16.6,25.7,,2.7,3.4,6.1,.105,,1.4,0.6,2.1,2.9
35,Andrei Kirilenko\kirilan01,SF,28,UTA,58,1681,18.2,.588,.185,.485,5.5,12.9,9.3,14.0,2.5,3.4,11.9,17.7,,3.3,2.7,6.0,.171,,1.6,2.9,4.5,2.8
36,Rashard Lewis\lewisra02,PF,30,ORL,72,2369,14.0,.573,.525,.224,3.1,12.1,7.8,7.4,1.7,0.9,10.9,19.4,,3.1,3.4,6.5,.132,,1.8,0.9,2.7,2.8
37,Chris Bosh\boshch01,C,25,TOR,70,2526,25.0,.592,.019,.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,,7.9,1.7,9.6,.182,,3.0,-0.7,2.3,2.7
38,Danny Granger\grangda01,SF,26,IND,62,2278,19.8,.564,.385,.376,3.2,13.3,8.2,13.6,2.0,1.6,10.6,28.7,,3.5,2.7,6.2,.131,,3.1,-0.4,2.7,2.7
39,Troy Murphy\murphtr01,PF,29,IND,72,2344,18.0,.585,.410,.237,6.0,28.5,17.2,10.6,1.5,1.0,10.0,18.8,,4.1,3.7,7.8,.159,,1.4,1.1,2.6,2.7
40,Jason Richardson\richaja01,SG,29,PHO,79,2485,16.6,.574,.401,.184,3.9,13.9,9.2,8.8,1.3,0.9,7.9,20.8,,5.0,1.7,6.6,.128,,2.9,-0.7,2.2,2.7
