Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP,VORP_Max
abdelal01,33.5,5.375016175419186,,2.3401395453413176,,3.525,0.325,0.3519103978829612,0.4849224873912608,1.0130094852658105,2.011179640970396,14.25,8.15,0.5825,,0.6739999999999999,4.0,0.5,,,,,,,-0.2
abdulma02,32.0,21.890625,7.21875,6.40625,,2.95,3.65,1.671875,0.109375,3.59375,2.125,37.25,29.0,0.4735,0.3735,0.8625,2.0,0.0,,,,,,,1.6
abdulta01,27.66666666666667,11.285641025641027,1.9227564102564103,4.859070512820512,,5.8,1.4,1.0208333333333333,0.5994230769230771,2.344294871794872,2.699775641025641,24.8,14.866666666666667,0.4826666666666666,0.30966666666666665,0.6786666666666666,3.0,0.3333333333333333,,,,,,,0.2
abdursh01,28.0,14.214285714285715,0.75,8.892857142857142,,8.4,1.0,1.8571428571428568,1.25,3.1071428571428568,2.071428571428572,34.7,21.1,0.518,0.381,0.6829999999999999,1.0,0.0,,,,,,,3.5
ackeral01,29.33333333333333,11.107460670586367,3.2826420890937023,3.524431908469728,,5.6000000000000005,2.8000000000000003,1.5154934053710472,0.4301737380157847,,,34.3,14.4,0.4586666666666667,0.4083333333333334,0.8220000000000001,3.0,0.0,11.67,,3.35,28.0,32.0,11.0,-0.1
acresma01,27.5,12.562309492509716,,5.803501906880661,,9.475,,1.3767777689496266,1.501394045331754,2.5365882726839346,3.5545682070987965,33.300000000000004,18.25,0.5680000000000001,,0.69725,4.0,0.0,,,,,,,0.1
acyqu01,34.75,6.030137904058057,0.049023769100169784,3.5917113308254818,2.4057567754511724,5.924999999999999,0.625,0.7366014458981103,1.2678739860403696,1.5464458703685209,2.65355593284286,28.0,9.775,0.616,0.3,0.688,4.0,0.5,10.48,,3.28,32.0,37.0,13.0,0.5
adamsha01,32.5,11.632398376198779,1.9053590889276373,2.685259099825632,,5.425,1.975,1.8306315387968608,0.6720248474280732,,,27.8,14.125,0.5002500000000001,0.28850000000000003,0.7112499999999999,4.0,0.75,,,,,,,-0.1
adamsjo01,34.5,11.549242424242426,4.30050505050505,4.943181818181818,1.2487373737373737,4.55,2.05,2.4255050505050497,0.2512626262626263,1.356060606060606,2.128787878787879,30.200000000000006,16.35,0.466,0.3315,0.8394999999999999,2.0,1.0,12.13,3.05,3.5,24.5,29.5,,0.1
adamsmi01,29.75,11.060092276674938,,4.206111714226634,,2.6500000000000004,3.875,2.264195616211745,0.10278768610421836,2.7408201509512,1.9870903122415216,29.025,13.525,0.4745,,0.7257499999999999,4.0,0.0,,,,,,,3.8
adamsst01,32.0,5.46875,0.0,2.1875,2.8125,6.3,0.6,0.65625,2.03125,1.09375,1.625,23.4,7.2,0.5710000000000001,,0.443,1.0,0.0,11.85,3.02,3.4,28.5,33.0,16.0,2.1
addisra01,31.5,11.557711693548384,,3.308719758064516,,5.15,2.5250000000000004,1.1728830645161292,0.5158770161290323,1.955141129032258,2.592741935483871,30.1,14.875,0.5329999999999999,,0.7517499999999999,4.0,0.0,,,,,,,-0.2
