Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Season,Name
19,TEXAS,34,1003,159,368,42,112,36,66,33,98,71,44,18,52,80,396,.432,.375,.545,29.5,11.6,2.9,2.1,2009-10,b/bradlav01
,,34,1003,159,368,42,112,36,66,33,98,71,44,18,52,80,396,.432,.375,.545,29.5,11.6,2.9,2.1,Career,b/bradlav01
19,MICHIGAN,31,403,34,56,0,1,16,35,,102,15,9,40,27,84,84,.607,.000,.457,13.0,2.7,3.3,0.5,1989-90,r/rileyer01
20,MICHIGAN,28,840,105,235,0,1,87,115,,242,29,20,78,76,108,297,.447,.000,.757,30.0,10.6,8.6,1.0,1990-91,r/rileyer01
21,MICHIGAN,32,480,82,139,,,37,64,,139,21,7,19,50,84,201,.590,,.578,15.0,6.3,4.3,0.7,1991-92,r/rileyer01
22,MICHIGAN,35,525,78,133,0,2,39,53,,169,14,15,31,37,82,195,.586,.000,.736,15.0,5.6,4.8,0.4,1992-93,r/rileyer01
,,126,2248,299,563,0,4,179,267,,652,79,51,168,190,358,777,.531,.000,.670,17.8,6.2,5.2,0.6,Career,r/rileyer01
18,NEASTERN,32,1030,236,447,,,99,144,,198,48,38,24,83,79,571,.528,,.688,32.2,17.8,6.2,1.5,1983-84,l/lewisre01
19,NEASTERN,31,1082,294,585,,,159,213,,241,55,61,30,88,80,747,.503,,.746,34.9,24.1,7.8,1.8,1984-85,l/lewisre01
20,NEASTERN,30,1118,265,559,,,184,229,,279,66,84,63,81,84,714,.474,,.803,37.3,23.8,9.3,2.2,1985-86,l/lewisre01
21,NEASTERN,29,957,248,507,30,91,150,197,,246,44,43,38,82,82,676,.489,.330,.761,33.0,23.3,8.5,1.5,1986-87,l/lewisre01
,,122,4187,1043,2098,30,91,592,783,,964,213,226,155,334,325,2708,.497,.330,.756,34.3,22.2,7.9,1.7,Career,l/lewisre01
19,LONGBEACH,32,945,147,342,45,136,118,170,,152,52,49,5,52,63,457,.430,.331,.694,29.5,14.3,4.8,1.6,1989-90,h/harrilu01
20,LONGBEACH,28,940,181,457,50,153,140,200,,131,69,47,2,79,63,552,.396,.327,.700,33.6,19.7,4.7,2.5,1990-91,h/harrilu01
21,LONGBEACH,30,1132,197,418,43,117,127,173,,129,97,46,8,59,68,564,.471,.368,.734,37.7,18.8,4.3,3.2,1991-92,h/harrilu01
22,LONGBEACH,32,1166,251,478,73,177,164,212,,169,79,58,7,66,49,739,.525,.412,.774,36.4,23.1,5.3,2.5,1992-93,h/harrilu01
,,122,4183,776,1695,211,583,549,755,,581,297,200,22,256,243,2312,.458,.362,.727,34.3,19.0,4.8,2.4,Career,h/harrilu01
20,TULSA,23,,29,49,0,0,3,11,,49,4,3,17,,,61,.592,,.273,,2.7,2.1,0.2,2006-07,j/jordaje01
21,TULSA,39,,154,273,0,0,102,148,,309,31,15,143,86,,410,.564,,.689,,10.5,7.9,0.8,2007-08,j/jordaje01
22,TULSA,36,,180,307,0,0,137,186,,308,34,14,91,87,,497,.586,,.737,,13.8,8.6,0.9,2008-09,j/jordaje01
23,TULSA,35,1043,184,335,0,0,172,250,84,317,44,16,82,79,98,540,.549,,.688,29.8,15.4,9.1,1.3,2009-10,j/jordaje01
,,133,1043,547,964,0,0,414,595,84,983,113,48,333,252,98,1508,.567,,.696,29.8,11.3,7.4,0.8,Career,j/jordaje01
18,MINNESOTA,26,254,27,70,,,10,23,,65,3,2,5,13,37,64,.386,,.435,9.8,2.5,2.5,0.1,1993-94,t/thomajo02
19,MINNESOTA,31,639,91,195,,,45,84,,144,23,19,11,62,81,227,.467,,.536,20.6,7.3,4.6,0.7,1994-95,t/thomajo02
20,MINNESOTA,32,845,106,221,,,66,127,,206,25,24,24,61,97,278,.480,,.520,26.4,8.7,6.4,0.8,1995-96,t/thomajo02
21,MINNESOTA,35,834,125,217,0,1,66,115,,221,40,30,25,54,86,316,.576,.000,.574,23.8,9.0,6.3,1.1,1996-97,t/thomajo02
,,124,2572,349,703,0,1,187,349,,636,91,75,65,190,301,885,.496,.000,.536,20.7,7.1,5.1,0.7,Career,t/thomajo02
20,ALABAMA,33,917,194,413,64,153,102,146,,130,40,35,15,76,98,554,.470,.418,.699,27.8,16.8,3.9,1.2,1990-91,r/robinja02
21,ALABAMA,34,1217,237,533,83,232,104,146,,138,79,38,10,108,78,661,.445,.358,.712,35.8,19.4,4.1,2.3,1991-92,r/robinja02
22,ALABAMA,29,1000,202,481,78,222,116,170,,130,68,47,21,93,67,598,.420,.351,.682,34.5,20.6,4.5,2.3,1992-93,r/robinja02
,,96,3134,633,1427,225,607,322,462,,398,187,120,46,277,243,1813,.444,.371,.697,32.6,18.9,4.1,1.9,Career,r/robinja02
18,SETONHALL,31,611,82,186,,,68,107,,47,78,35,11,94,71,232,.441,,.636,19.7,7.5,1.5,2.5,1985-86,m/mortojo01
19,SETONHALL,27,734,90,199,2,14,100,137,,70,113,48,8,92,82,282,.452,.143,.730,27.2,10.4,2.6,4.2,1986-87,m/mortojo01
20,SETONHALL,35,1008,156,321,5,17,132,157,,67,166,75,18,130,97,449,.486,.294,.841,28.8,12.8,1.9,4.7,1987-88,m/mortojo01
21,SETONHALL,38,1082,210,482,79,189,159,194,,129,95,49,14,81,106,658,.436,.418,.820,28.5,17.3,3.4,2.5,1988-89,m/mortojo01
,,131,3435,538,1188,86,220,459,595,,313,452,207,51,397,356,1621,.453,.391,.771,26.2,12.4,2.4,3.5,Career,m/mortojo01
21,GEORGIA,29,644,109,208,,,55,102,,190,51,8,48,51,68,273,.524,,.539,22.2,9.4,6.6,1.8,1991-92,c/claxtch01
22,GEORGIA,29,637,133,236,,,68,141,,192,12,18,47,52,85,334,.564,,.482,22.0,11.5,6.6,0.4,1992-93,c/claxtch01
23,GEORGIA,30,728,132,239,,,63,149,,236,18,14,58,57,94,327,.552,,.423,24.3,10.9,7.9,0.6,1993-94,c/claxtch01
24,GEORGIA,28,769,124,226,3,10,89,166,,222,21,26,94,57,88,340,.549,.300,.536,27.5,12.1,7.9,0.8,1994-95,c/claxtch01
,,116,2778,498,909,3,10,275,558,,840,102,66,247,217,335,1274,.548,.300,.493,23.9,11.0,7.2,0.9,Career,c/claxtch01
19,TEXAS,34,676,123,300,58,159,37,64,34,126,50,27,12,47,43,341,.410,.365,.578,19.9,10.0,3.7,1.5,2009-10,h/hamiljo02
20,TEXAS,36,1159,243,552,90,234,95,122,72,276,76,31,23,77,64,671,.440,.385,.779,32.2,18.6,7.7,2.1,2010-11,h/hamiljo02
,,70,1835,366,852,148,393,132,186,106,402,126,58,35,124,107,1012,.430,.377,.710,26.2,14.5,5.7,1.8,Career,h/hamiljo02
18,WASHINGTON,23,576,120,260,19,74,41,57,,89,52,26,0,,,300,.462,.257,.719,25.0,13.0,3.9,2.3,2002-03,r/robinna01
19,WASHINGTON,31,833,138,309,46,130,87,102,,121,84,53,3,,,409,.447,.354,.853,26.9,13.2,3.9,2.7,2003-04,r/robinna01
20,WASHINGTON,35,1101,188,406,62,161,136,174,,135,149,61,6,,,574,.463,.385,.782,31.5,16.4,3.9,4.3,2004-05,r/robinna01
,,89,2510,446,975,127,365,264,333,,345,285,140,9,,,1283,.457,.348,.793,28.2,14.4,3.9,3.2,Career,r/robinna01
19,WICHITAST,29,914,189,346,,,79,127,,294,44,,,,,457,.546,,.622,31.5,15.8,10.1,1.5,1979-80,l/levincl01
20,WICHITAST,33,1108,246,452,,,120,194,,376,59,,,,,612,.544,,.619,33.6,18.5,11.4,1.8,1980-81,l/levincl01
21,WICHITAST,29,902,162,312,,,78,125,,295,45,,,,,402,.519,,.624,31.1,13.9,10.2,1.6,1981-82,l/levincl01
,,91,2924,597,1110,,,277,446,,965,148,,,,,1471,.538,,.621,32.1,16.2,10.6,1.6,Career,l/levincl01
18,IOWA,31,,173,371,28,91,90,129,,148,74,38,10,,,464,.466,.308,.698,,15.0,4.8,2.4,1997-98,d/davisri01
,,31,,173,371,28,91,90,129,,148,74,38,10,,,464,.466,.308,.698,,15.0,4.8,2.4,Career,d/davisri01
18,DUKE,35,1074,236,499,38,106,160,214,105,306,41,37,43,81,83,670,.473,.358,.748,30.7,19.1,8.7,1.2,2013-14,p/parkeja01
,,35,1074,236,499,38,106,160,214,105,306,41,37,43,81,83,670,.473,.358,.748,30.7,19.1,8.7,1.2,Career,p/parkeja01
